Company_Name,Stud_Count,City,Country,Postal_Code,Address,City_1,Coordinates,Latitude,Longitude
MIF: LA MUTUELLE D'IVRY (LA FRATERNELLE),7,PARIS,FRANCE,75010,"PARIS, 75010, FRANCE",PARIS,"Paris, Île-de-France, France métropolitaine, France",48.8566101,2.3514992
CREDIT AGRICOLE CIB - LA DFENSE,7,PARIS LA DFENSE CEDEX,FRANCE,92920,"PARIS LA, 92920, FRANCE",PARIS LA,"Paris, Île-de-France, France métropolitaine, France",48.85881005,2.320031012
SOPRA STERIA - COLOMIERS,7,COLOMIERS CEDEX,FRANCE,31772,"COLOMIERS CEDEX, 31772, FRANCE",COLOMIERS CEDEX,,43.6138,1.345
CREDIT AGRICOLE PYRENEES GASCOGNE,7,SERRES CASTET,FRANCE,64121,"SERRES, 64121, FRANCE",SERRES,"Serres, Limoux, Aude, Occitanie, France métropolitaine, 11190, France",42.9466381,2.3236952
SAGEM DEFENSE SECURITE - ERAGNY SUR OISE,7,ERAGNY SUR OISE,FRANCE,95610,"ERAGNY, 95610, FRANCE",ERAGNY,"Éragny, Pontoise, Val-d'Oise, Île-de-France, France métropolitaine, 95610, France",49.02212455,2.103039724
SAFRAN HELICOPTER ENGINES - BORDES,7,BORDES,FRANCE,64511,"BORDES, 64511, FRANCE",BORDES,"Bordes, Yssingeaux, Haute-Loire, Auvergne-Rhône-Alpes, France métropolitaine, 43200, France",45.1893794,4.1163969
BKBIET - BIRLA INSTITUTE OF ENGINEERING AND TECHNOLOGY,7,RAJASTHAN,INDIA,0,"RAJASTHAN, 0, INDIA",RAJASTHAN,"Rajasthan, India",26.8105777,73.7684549
BOUYGUES TELECOM,7,MEUDON LA FORET CEDEX,FRANCE,92366,"MEUDON LA, 92366, FRANCE",MEUDON LA,"Meudon, Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France métropolitaine, France",48.8126688,2.2385432
NOOLINE,7,CERGY,FRANCE,95000,"CERGY, 95000, FRANCE",CERGY,"Cergy, Pontoise, Val-d'Oise, Île-de-France, France métropolitaine, France",49.0527528,2.0388736
THALES OPTRONIQUE - ELANCOURT,7,ELANCOURT,FRANCE,78990,"ELANCOURT, 78990, FRANCE",ELANCOURT,"Élancourt, Rambouillet, Yvelines, Île-de-France, France métropolitaine, 78990, France",48.7681182,1.949352
THALES SERVICES - VELIZY VILLACOUBLAY,7,VELIZY VILLACOUBLAY,FRANCE,78141,"VELIZY, 78141, FRANCE",VELIZY,"Hippopotamus Forest Hill Meudon Vélizy, 40, Avenue du Maréchal de Lattre de Tassigny, Le Parc de Chalais, Meudon-la-Forêt, Meudon, Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France métropolitaine, 92360, France",48.78461,2.2254946
WORLDLINE,6,BEZONS,FRANCE,95870,"BEZONS, 95870, FRANCE",BEZONS,"Bezons, Argenteuil, Val-d'Oise, Île-de-France, France métropolitaine, 95870, France",48.9250016,2.2105491
ISIA,6,JUILLAN,FRANCE,65290,"JUILLAN, 65290, FRANCE",JUILLAN,"Juillan, Tarbes, Hautes-Pyrénées, Occitanie, France métropolitaine, 65290, France",43.2011,0.024292
ORANGE,6,PARIS CEDEX 15,FRANCE,75505,"PARIS, 75505, FRANCE",PARIS,"Paris, Île-de-France, France métropolitaine, France",48.8566101,2.3514992
NATIXIS ASSET MANAGEMENT,6,PARIS CEDEX 13,FRANCE,75634,"PARIS, 75634, FRANCE",PARIS,"Paris, Île-de-France, France métropolitaine, France",48.8566101,2.3514992
UNIVERSIDADE ESTADUAL PAULISTA - UNESP,6,SO PAULO,BRSIL,01049-010,"PAULO, 01049-010, BRSIL",PAULO,,-23.533773,-46.62529
